label,botanical_name,common_name,family,parts_used,medicinal_property,side_effects
Anisool,Pimpinella anisum,Anisool,Apiaceae,seeds ,"bloating, gas, and indigestion","Anise seeds contain compounds that mimic estrogen, so individuals with hormone-sensitive conditions such as breast cancer "
Anjeer,Ficus carica L.,Anjeer,Moraceae,Fruits,"high fiber content, which aids digestion and helps relieve constipation","gastrointestinal discomfort, and allergic reactions "
Aragwadha,Cassia fistula L,Aragwadha,Caesalpiniaceae,"Bark, fruit pulp.","Laxative, antipyretic.",Excessive use may cause abdominal discomfort or diarrhea.
Arka,Calotropis procera,Arka,Asclepiadaceae,"Latex, leaves.","Anti-inflammatory, antimicrobial.",Can be toxic if ingested in large quantities.
Aruka,Prunus domestica L.,Aruka,Rosaceae,"Fruit, leaves","Laxative, antioxidant.",Excessive consumption may lead to diarrhea.
Arundo donax,Arundo donax,Giant reed,Poaceae,"Rhizome, stem.","diuretic properties, meaning it could increase urine production , anti-inflammatory effects, which could potentially be beneficial for conditions such as arthritis or skin inflammation ,Arundo donax have been used to treat various ailments, including fevers, inflammations, and respiratory conditions","Inhalation of dust or particles from Arundo donax may irritate the respiratory tract in some individuals, particularly those with pre-existing respiratory conditions like asthma or allergies."
Ashvathha,Ficus religiosa L.,Ashvathha,Moraceae," Bark, leaves.","Antidiabetic, antimicrobial.",Ingesting large quantities of any plant material can be harmful.
Asmania,Ephedra girardianaÿWall.,Asmania,EPHEDRACEAE,"Stem, aerial parts.","Used as a stimulant, diuretic, and to treat asthma, bronchitis, and cold symptoms.","Can cause increased heart rate, high blood pressure, anxiety, and insomnia if used in excessive doses or for prolonged periods."
Aspaghol,Plantago amplexicaulis,Aspaghol,Plantaginaceae,"Seeds, husk","Known for its laxative and anti-inflammatory properties, used to relieve constipation and soothe digestive issues.",bloating or gas
Bacho,Rubia tinctorumÿL.,Bacho,RUBIACEAE,Roots.,"Used for its anti-inflammatory and antioxidant properties, also as a diuretic and to treat skin conditions.",Rare but may include allergic reactions or skin irritation in sensitive individuals.
Baheda,Terminalia bellirica,Baheda,Combretaceae,"Fruit, bark.","Known for its antimicrobial, anti-inflammatory, and antioxidant properties, used to treat respiratory issues, digestive disorders, and skin conditions.","Generally safe when used in recommended doses, but excessive consumption may cause diarrhea or stomach upset."
Bajarbang,Physochlaina praealta,Bajarbang,Solanaceae,"Roots, leaves,flower,seed","Used as a pain reliever, anti-inflammatory agent, and to treat respiratory ailments such as asthma and bronchitis.","Affect the nervous system, leading to symptoms such as dizziness, confusion, or hallucinations."
Bal raksha,Gnaphalium luteo-albumÿL.,Bal rakshaÿ,ASTERACEAE,Whole plant.,"Used traditionally to treat respiratory conditions like asthma and bronchitis, also has antimicrobial properties.",Potential side effects could include allergic reactions in sensitive individuals or gastrointestinal discomfort
Baltal,Sorbus aucupariaÿL,Baltal,ROSACEAE,"Berries, bark.","Berries are rich in antioxidants and vitamin C, used to boost immunity and improve digestion.","Consumption of the berries in large quantities may cause gastrointestinal upset, and the bark may contain compounds that could be toxic if ingested in significant amounts."
Bata,Periploca aphyllaÿDecne.,Bata,PERIPLOCACEAE,"Bark, roots.",Used for its anti-inflammatory properties and to treat digestive disorders.,"The bark and roots may contain compounds that could be toxic if ingested in large quantities, potentially leading to gastrointestinal irritation "
Batula,Saussurea heteromallaÿ(D.Don) Hand.-Mazz,Batula,ASTERACEAE,"Roots, leaves.","Known for its anti-inflammatory and analgesic properties, used to relieve pain and inflammation.",Prolonged use may lead to oral health issues like stained teeth or gum disease.
Betel,Piper betle,Betel,Piperaceae,Leaves.,Betel leaves are commonly chewed for their digestive and stimulant properties. They are believed to aid digestion and provide a mild stimulant effect,oral cancer.
Bhanga,Cannabis sativa L.,Bhanga,Cannabinaceae,"Leaves, flowers.","Pain relief, anti-inflammatory, appetite stimulation, and potential neuroprotective effects.","Possible adverse effects include impaired cognition, addiction, respiratory issues from smoking, and increased heart rate."
Bithua,Heliotropium ellipticumÿLedeb.,Bithua,BORAGINACEAE,Whole plant.,"Used traditionally for its anti-inflammatory, analgesic, and anti-arthritic properties.",Liver toxicity with prolonged use
Boerhavia diffusa,Boerhavia diffusaÿL.,Sant,NYCTAGINACEAE,"Root, leaves.","Diuretic, anti-inflammatory, and used for urinary disorders, hypertension, and liver diseases.",electrolyte imbalances
Cannabis sativa,Cannabis sativaÿL.,Ganja,CANNABACEAE,"Leaves, flowers.","Anti-inflammatory, analgesic, and used for skin disorders like eczema and itching.","Potential side effects include altered mental state, impaired coordination, and addiction with long-term use."
Cardiospermum halicacabum,Cardiospermum halicacabum L,Kakadani,Sapindaceae,Whole plant.,"Anti-inflammatory, analgesic, and used for skin disorders like eczema and itching.",topical application may cause skin irritation
Chakavad,Cassia tora,Chakavad,Calsalpiniaceae,Seeds.,"Laxative, anti-inflammatory, and used for digestive disorders.","Excessive use may lead to diarrhea, abdominal cramps, or electrolyte imbalances."
Chambul,Ranunculus arvensisÿL.,Chambulÿ,RANUNCULACEAE,Whole plant.,Used traditionally for its analgesic and anti-inflammatory properties.,Contains toxins and can be poisonous if ingested in large quantities. Skin contact may cause irritation.
Chanaka,Cicer arietinum L.,Chanaka,Fabacea,Seeds.,"Rich in protein, fiber, and various vitamins and minerals; used as a dietary staple and for its nutritive properties.","Generally safe when consumed as food; however, excessive consumption may cause flatulence or digestive discomfort in some individuals."
Chirchitta,Achyranthes aspera,Chirchitta,Amaranthaceae,Whole plant,"Anti-inflammatory, analgesic, diuretic, and used for various conditions including arthritis and urinary disorders.",gastrointestinal irritation or allergic reactions
Chitrak,Plumbago zeylanica,Chitrak,Plumbaginaceae,Root.,"Digestive stimulant, carminative, and used for digestive disorders, rheumatism, and respiratory conditions.",High doses may cause gastrointestinal irritation or liver toxicity.
Citrus Lemon,Citrus Lemon,Lemon,Rutaceae,"Fruit, peel.","It is rich in vitamin C and antioxidants, offering immune-boosting and detoxifying properties. Additionally, its acidic nature aids digestion and may help alleviate symptoms of indigestion and bloating",tooth enamel erosion or gastric irritation
Curry leaf,Murraya koenigii,Curry leaf,Rutaceae,Leaves.,"Curry leaves are rich in antioxidants and are traditionally used for their anti-diabetic properties, aiding in the regulation of blood sugar levels. They also provide digestive benefits, helping to alleviate gastrointestinal issues",
Daruharidra,Berberis aristata DC,Daruharidra,Berberidaceae,"Root, stem bark","Anti-inflammatory, antimicrobial, antioxidant, and hepatoprotective.",Prolonged use or high doses may lead to liver toxicity or allergic reactions.
Dhok,Anogeissus pendula Edgew,Dhok,Combretaceae,Bark,"Astringent, anti-inflammatory, and used for wound healing and diarrhea.","While generally safe, excessive use of Dhok bark may lead to gastrointestinal irritation or constipation. Allergic reactions are possible in sensitive individuals."
Dronapushpi,Leucas cephalotes Roth,Dronapushpi,Labiatae,Whole plant,"Anti-inflammatory, analgesic, expectorant, and used for respiratory conditions, fever, and skin disorders.",Possible side effects may include allergic reactions such as skin rash or respiratory symptoms. High doses may cause gastrointestinal upset or dizziness in some individuals.
Fagora,Rhamnus triquetraÿWall. ex Roxb.,Fagora,RHAMNACEAE,"Bark, root","Laxative, anti-inflammatory, and used for constipation and digestive disorders.","abdominal cramping, diarrhea, or electrolyte imbalances due to its laxative effects. Prolonged use of Fagora bark or root may lead to dependence on laxatives."
Faridbuti,Farsetia hamiltoniiÿRoyle,Faridbuti,BRASSICACEAE,Whole plant.,"Antioxidant, anti-inflammatory, and used for skin disorders and arthritis.",gastrointestinal discomfort such as bloating or diarrhea in some individuals
Fenugreek,Trigonella foenum-graecum,Fenugreek,Fabaceae,Seeds.,"Galactagogue (increases breast milk production), anti-inflammatory, and hypoglycemic.","maple syrup-like odor in urine. Fenugreek may also lower blood sugar levels, so caution is advised for individuals with diabetes or hypoglycemia."
Gadaha purnaa,Boerhavia diffusa,Gadaha purnaa,Nyctaginaceae,"Root, leaves","estrogenic, anti-imfammatory, anticonvulsant, antistress, anti-metastatic, antitumor, antiviral, antioxidant",high doses of Gadaha purnaa may lead to gastrointestinal upset or electrolyte imbalances. Long-term use may also affect hormone levels.
Galgal,Cochlospermum religiosum (L.),Galgal,Cochlospermaceae,"Bark, root.","Anti-inflammatory, analgesic, and used for pain relief and inflammatory conditions.",Side effects might include gastrointestinal irritation or allergic reactions in sensitive individuals. Long-term use or high doses may lead to liver toxicity.
Gandamgund,Lycopus europaeusÿL.,Gandamgundu,LAMIACEAE,Whole plant.,"Astringent, diuretic, and used for urinary disorders, menstrual irregularities, and respiratory conditions.",Individuals with kidney problems should use Gandamgund with caution due to its diuretic effects.
Ginger,Zingiber officinale,Ginger,Zingiberaceae,Rhizome.,"Anti-inflammatory, antiemetic, digestive aid, and used for nausea, indigestion, and arthritis.",blood-thinning medications or increase the risk of bleeding
Guava,Psidium guajava,Guava,Myrtaceae,"Leaves, fruit","Guava is rich in antioxidants, aiding in immune function and protecting against oxidative stress. Its antimicrobial properties may help in managing infections and promoting overall health.",
Guggulu,Commiphora wightii (Arn.) Bhandari,Guggulu,Burseraceae,Resin,"Anti-inflammatory, antioxidant, antimicrobial, and used for arthritis, obesity, and skin disorders.","gastrointestinal upset, skin rash, or allergic reactions in some individuals. It may also interact with certain medications."
Gurmar,Gymnema sylvestre,Gurmar,Gymnema sylvestre,Leaves,"Gurmar is known for its antidiabetic and hypolipidemic properties, helping to regulate blood sugar levels and lower cholesterol. It may also aid in weight management by reducing sugar cravings","dehydration, or electrolyte imbalances if taken in excess"
Haritaki,Terminalia chebula Retz,Haritaki,Combretaceae,Fruit.,"Laxative, antioxidant, anti-inflammatory, and used for digestive disorders, respiratory conditions, and skin diseases.","dehydration, or electrolyte imbalances if taken in excess"
Hibiscus,Hibiscus rosa-sinensis,Hibiscus,Malvaceae,"Flower, leaves.","Aids in digestion, promoting cardiovascular health, lowering blood pressure, and possessing anti-cancer properties due to their high content of antioxidants, vitamins, and minerals",
Hijjala,Barringtonia acutangula (L.) Gaertn.,Hijjala,Lecythidaceae,"Bark, leaves.","Antidiarrheal, anti-inflammatory, and used for digestive disorders, skin conditions, and pain relief.","Hijjala bark and leaves may include allergic reactions, gastrointestinal discomfort, or skin irritation in sensitive individuals"
Howa,Solanum gracilipesÿDecne.,Howa,SOLANACEAE,Whole plant.,"potential analgesic, anti-inflammatory, antioxidant, antimicrobial, and possibly neuroprotective effects","nausea, vomiting, dizziness, or even toxicity if consumed in large quantities."
Indian Beech,Pongamia pinnata,Pongamia,Fabaceae,"Seeds, leaves.","Indian Beech has antibacterial and antifungal properties, making it useful in traditional medicine for treating skin infections and promoting wound healing. Additionally, it has anti-inflammatory effects, which may aid in relieving pain and inflammation",External application of Pongamia oil may cause skin irritation 
Isafghol,Plantago amplexicaulisÿCav.,Isafghol,PLANTAGINACEAE,Seeds.,"Laxative, anti-inflammatory, and used for digestive disorders and respiratory conditions.",dehydration
Jack Fruit,Artocarpus heterophyllus,Jackfruit,Moraceae,"Fruit, latex","Jackfruit leaves contain antioxidants and antimicrobial compounds, beneficial for promoting skin health and wound healing. They also have digestive properties and may help alleviate gastrointestinal issues",gastrointestinal upset.
Jamun,Syzygium cumini,Jamun,Myrtaceae,"Seeds, fruit.","Antidiabetic, hypolipidemic",gastrointestinal upset or hypoglycemia in some individuals.
Jatimisak,Heliotropium bacciferumÿForsk.,Jatimisak,BORAGINACEAE,"Roots, leaves.","Anti-inflammatory: May help reduce inflammation,Analgesic: Potential pain-relieving properties.","adverse effects such as nausea, vomiting, or diarrhea."
Jivanti,Leptadenia reticulata (,Jivanti,Asclepiadaceae,"Roots, leaves.","modulate the immune system,protect cells from oxidative damage.","nausea, vomiting, or allergic skin reactions."
Kahava,Terminalia arjuna ,Kahava,Combretaceae,Bark.,"Known for its benefits to heart health,help lower blood pressure.","gastrointestinal upset, adverse effects such as nausea, vomiting, or diarrhea."
Kanchanara,Bauhinia variegata L,Kanchanara,Caesalpiniaceae,"Bark, leaves.","properties to combat microbial infections,Potential for reducing inflammation","skin rash, itching, or swelling may occur in sensitive individuals."
Kantiaari,Carthamus tinctorius L,Kantiaari,Compositae,"Flower, seeds","Can help neutralize harmful free radicals in the body,anti-inflammatory effects.","digestive upset, including stomach pain or diarrhea."
Kanwal,Saussurea obvallataÿ(DC.) Sch.Bip.,Kanwal,ASTERACEAE,Rhizome.,"anti-inflammatory, analgesic, antioxidant, antimicrobial, and hepatoprotective effects.",mild gastrointestinal issues like bloating or gas in some individuals.
Karandas,Carissa carandas,Karandas,Apocynaceae,"Fruit, leaves.", aids in reducing inflammation and promoting overall health. They are also traditionally used to alleviate digestive issues and boost immunity,Excessive intake may cause nausea or vomiting.
Karir,Capparis deciduas (Forssk.) Edgew,Karir,Capparaceae,"Bark, root","medicinal properties, such as anti-inflammatory or antioxidant effects.",affect liver function
Karkandhu,Ziziphus oenopolia (L.) Mil,Karkandhu,Rhamnaceae,"Fruit, leaves.","antidiabetic, anti-inflammatory, or having antimicrobial effects.","skin rash or itching, may occur in sensitive individuals."
Karvira,Thevetia nerifolia Juss. Ex Steud,Karvira,Apocynaceae,"Leaves, seeds.","contain compounds with properties such as being cardiac stimulants, antimalarial, or having anti-inflammatory effects.",irregular heartbeats or other cardiovascular issues.
Kasni,Cichorium intybus L. [,Kasni,Compositae,"Leaves, roots.","Compositae family, like dandelion (Taraxacum officinale), are known for their diuretic, hepatoprotective, and antioxidant properties.","Diuretic properties may cause increased urination, dehydration, or electrolyte imbalances in susceptible individuals."
Kasondi,Cassia occidentalis L,Kasondi,Caesalpiniaceae,Whole plant.,anti-inflammatory or having antioxidant effects.,"Excessive intake may cause gastrointestinal disturbances such as stomach irritation, nausea, or diarrhea."
Katabhi,Careya arborea Roxb,Katabhi,Lecythidaceae,"Bark, leaves","antidiabetic, anti-inflammatory, or having antimicrobial effects.",Bark or leaf extracts may cause gastrointestinal discomfort such as stomach upset or diarrhea in some individuals.
Kaura ro,Kochia indicaÿWight,Kaura ro,CHENOPODIACEAE,Whole plant.,"antiparasitic, antimicrobial, or having anti-inflammatory effects.","Side effects may include gastrointestinal discomfort such as nausea, vomiting, or diarrhea in some individuals. Prolonged use may also lead to electrolyte imbalance"
Khaaksi,Sisymbrium irio,Khaaksi,Brassicaceae,"Seeds, leave","rich in vitamins and minerals, promoting digestive health, and potentially having anticancer effects due to their glucosinolate content.",Excessive consumption of seeds may cause gastric distress or bloating.
Kharnub,Ceratonia siliquaÿL.,Kharnub,CAESALPINIACEAE,"Pods, seeds.","promoting wound healing, providing relief from gastrointestinal issues like diarrhea, or exhibiting antifungal effects.",electrolyte imbalances or other adverse effects on digestive health. 
Khudi okra,Chrozophora rottleriÿ(Geis.) A.Juss.ex Spreng.,Khudi okra,EUPHORBIACEAE,"Leaves, seeds.","purgative, antidiabetic, or possessing anthelmintic effects (used against parasitic worms).","abdominal cramping, diarrhea, or dehydration due to its purgative effects"
Khurbanti,Ajuga bracteosa,Khurbanti,Labiatae,Whole plant.,"carminative (relieving flatulence), antispasmodic, and having potential analgesic effects.",skin irritation or respiratory symptoms
Kinkirata,Garuga pinnata Roxb,Kinkirata,Burseraceae,"Bark, leaves, fruit.","Antimicrobial, wound-healing, and potentially anti-inflammatory,Antidiarrheal, antioxidant, and analgesic.","skin irritation or allergic reactions in sensitive individuals, especially when applying bark extracts topically. Internal use may lead to gastrointestinal discomfort or allergic reactions."
Kiralu,Arisaema speciosumÿ(Wall.) Mart.,Kiralu,ARACEAE,Tuber.,"respiratory disorders, skin diseases, and as an antidote.","irritation of the mouth, throat, and digestive tract"
Kirimar,Stachys parvifloraÿBenth.,Kirimar,LAMIACEAE,Whole plant.,anti-inflammatory and anti-diabetic effects.,"can lead to toxicity, including nausea, vomiting, abdominal pain, and central nervous system effects."
Kriss,Dioscorea deltoideaÿWall. ex Kunth,Kriss,DIOSCOREACEAE,Tubers.,"gastrointestinal disorders, inflammation, and as a tonic.","adverse effects such as nausea, vomiting, abdominal pain, diarrhea, and skin irritation."
Kurchi,Holarrhena antudysentricaÿ(Roth) DC.,Kurchi,APOCYNACEAE,"Bark, seeds.",anti-dysenteric and anti-malarial agent.,Delphinium species contain toxic alkaloids that can cause poisoning if ingested
Kutilal,Daphne oleoidesÿSchreb.,Kutilal,THYMELAEACEAE,"Root, stem bark,flower",medicinal properties such as,"Side effects may include nausea, vomiting, abdominal pain, diarrhea, dizziness, headache, and skin irritation. In severe cases, it can lead to respiratory or cardiovascular complications."
Laal shaak,Amaranthus polygamus,Laal shaak,Amaranthaceae,Leaves.,"Rich in nutrients, used as a source of vitamins and minerals in traditional diets.","bloating, gas, or digestive discomfort"
Laskar,Delphinium brunonianumÿRoyle,Laskar,RANUNCULACEAE,Whole plant.,"Used in traditional medicine for its pharmacological properties, including as an analgesic and anti-inflammatory agent.","nausea, vomiting, diarrhea, abdominal pain, muscle weakness, paralysis, and cardiac arrhythmias. In severe cases, it can be fatal."
Lat Jiara,Achyranthes porphyristachya,Lat Jiara,Amaranthaceae,Whole plant.,diuretic and anti-inflammatory agent.,allergic reactions or gastrointestinal discomfort with the use of this plant.
Loni,Portulaca oleraceae,Loni,Portulacaceae,Leaves.,Used in traditional medicine for its therapeutic effects ,gastrointestinal upset with excessive consumption.
Mamajjaka,Enicostema littorale Blume,Mamajjaka,Gentianaceae,Whole plant.,hypoglycemic and hepatoprotective effects.,"gastrointestinal irritation, nausea, vomiting, or diarrhea "
Mameche,Polygonum viviparumÿL.,Mameche,POLYGONACEAE,Whole plant.,Mameche whole plant is traditionally used for its potential anti-inflammatory and diuretic properties.,"allergic reactions or gastrointestinal discomfort, especially with excessive use."
Mamira,Coptis teetaÿWall.,Mamira,RANUNCULACEAE,Rhizome.,"Mamira exhibits antibacterial, antifungal, and antioxidant effects.","gastrointestinal irritation, nausea, vomiting, diarrhea, and liver toxicity."
Mankanda,Alocasia macrorrhiza,Mankanda,Araceae,Rhizome.,Mankanda rhizome possesses potential anti-inflammatory and analgesic properties.,"Consumption of Mankanda may lead to irritation of the mouth and throat due to the presence of calcium oxalate crystals, and excessive intake may cause gastrointestinal discomfort."
Marahattikaa,Spilanthes acmella (L.) L,Marahattikaa,Compositae,Flower heads.,Marahattikaa flower heads exhibit potential analgesic and antimicrobial properties.,"Excessive use of Marahattikaa may cause irritation of the mouth and throat due to its spilanthol content, and allergic reactions are possible in sensitive individuals."
Merino,Potentilla arbusculaÿD.Don,Merino,ROSACEAE,Whole plant.,Merino whole plant is traditionally used for its potential anti-inflammatory and astringent properties.,"Excessive ingestion of Merino may lead to gastrointestinal discomfort, and individuals allergic to plants in the Rosaceae family should use it cautiously to avoid potential allergic reactions."
Mimusops elengi,Mimusops elengi,Mimusops elengi,Sapotaceae,"Bark, leaves, flowers.","Antioxidant, anti-inflammatory ,providing relief from pain.",gastrointestinal upset
Mint,Mentha,Mint,Lamiaceae,Leaves.," Mint leaves are known for their digestive properties, aiding in digestion and relieving symptoms like indigestion and bloating. They also have analgesic properties, providing relief from headaches and muscle pain","individuals with gastroesophageal reflux disease (GERD) may experience worsening symptoms with mint consumption,Mint oil should be avoided in infants and young children due to the risk of choking or respiratory distress if ingested"
Moringa,Moringa oleifera,Moringa,Moringaceae,"Leaves, seeds.","Nutritive, anti-inflammatory,antioxidant effects, It also support  immune function and protects against oxidative damage.","pregnant women should avoid consuming moringa seeds or extracts, as they may have uterotonic effects and potentially stimulate contractions."
Mumiri,Caltha palustrisÿL.,Mumiri,RANUNCULACEAE,Whole plant.,Potential diuretic and anti-inflammatory effects.,Excessive consumption may cause gastrointestinal upset.
Mundi,Sphaeranthus indicusÿL.,Mundi,ASTERACEAE,Whole plant.,Traditionally used for its potential anti-inflammatory and analgesic properties.,Allergic reactions may occur in sensitive individuals.
Muuli,Raphanus sativus,Muuli,Brassicaceae,"Root, leaves",Known for its potential digestive and diuretic properties.,Excessive intake may lead to gastrointestinal discomfort.
Nagkeshara,Mesua ferra L,Nagkeshara,Guttiferae,"Stamen, flower buds.",Valued for its potential anti-inflammatory and antimicrobial effects.,#NAME?
Narha,Arundo donax L,Narha,Poaceae,"Stem, rhizome.",Traditionally used for its potential anti-inflammatory and diuretic properties.,Excessive consumption may cause gastrointestinal discomfort.
Neem,Azadirachta indica,Neem,Meliaceae,"Leaves, bark, seeds.","Antibacterial, antifungal, aids in skin health and wound healing","Excessive use may lead to liver damage, allergic reactions, and stomach upset."
Nichni,Rhododendron anthopogonÿD.Don,Nichni,ERICACEAE,Whole plant.,Used in traditional medicine for respiratory conditions; Side Effects,May cause nausea and vomiting in high doses.
Ogai,Astragalus tribuloidesÿDelile,Ogai,FABACEAE,,Used for immune system support,May interact with certain medications and cause gastrointestinal discomfort.
Oleander,Nerium oleander,Oleander,Apocynaceae,Whole plant.,"It contain cardiotonic compounds and exhibit anti-inflammatory properties, traditionally used to support heart health and alleviate inflammation-related conditions","Highly toxic if ingested, causing nausea, vomiting, and potentially fatal cardiac effects."
Parnabija,Bryophyllum pinnatum,Parnabija,Crassulaceae,"Leaves, bark, roots.",Used in traditional medicine for wound healing and inflammation,May cause gastrointestinal upset and skin irritation in some individuals.
Parpat,Fumaria indica (Hausskn.) Pugsley,Parpat,Fumariaceae,Whole plant.,Traditionally used for liver and skin conditions,May cause gastrointestinal discomfort and allergic reactions in sensitive individuals.
Patranga,Caesalpinia sappan L,Patranga,Caesalpiniaceae,Heartwood.,Known for its antioxidant and anti-inflammatory properties,Excessive use may lead to gastrointestinal upset and allergic reactions.
Phulai,Acacia modestaÿWall.,Phulai,MIMOSACEAE,"Bark, leaves.",Used in traditional medicine for its astringent and anti-inflammatory properties,allergic reactions and gastrointestinal discomfort in some individuals.
prickly poppy,Argemone ochroleuca,prickly poppy,Papaveraceae,"Seeds, oil.",Utilized for its analgesic and sedative properties,"Can cause drowsiness, confusion, and respiratory depression in high doses."
Raai,Brassica juncea,Raai,Brassicaceae,"Seeds, leaves.","Contains antioxidants and may have,anti-inflammatory effects",Consuming large quantities may cause digestive discomfort and thyroid issues due to goitrogenic compounds.
Rakkyo,Allium chinese,Rakkyo,Liliaceae,Bulbs.,Rich in sulfur compounds with potential antimicrobial properties,Excessive consumption may lead to digestive upset and allergic reactions.
Rattanjot,Potentilla nepalensisÿHook.,Rattanjot,ROSACEAE,Root.,Traditionally used for its astringent and anti-inflammatory properties,allergic reactions or gastrointestinal discomfort.
Richhkas,Sambucus wightianaÿWall. ex Wight & Arn.,Richhkas,CAPRIFOLIACEAE,"Flowers, berries.",Berries and flowers used in traditional medicine for immune support and respiratory conditions,"Berries may cause gastrointestinal upset if consumed in large quantities, and allergic reactions are possible."
Riddhi,Habenaria edgeworthii,Riddhi,Orchidaceae,Whole plant.,Used in traditional medicine for its potential aphrodisiac and tonic properties,gastrointestinal discomfort or allergic reactions.
Rohitaka,Tecomella undulata (Sm.) Seem,Rohitaka,Bignoniaceae,"Bark, leaves.",Bark and leaves used for their potential anti-inflammatory and analgesic properties,Skin allergy
Sajjibuti,Salsola kaliÿL.,Sajjibuti,CHENOPODIACEAE,Whole plant.,Traditionally used for its diuretic and anti-inflammatory properties,"While Sajjibuti is traditionally used for its diuretic and anti-inflammatory properties, excessive consumption may lead to electrolyte imbalances or gastrointestinal upset"
Sambhalu,Vitex negundoÿL.,Sambhalu,VERBENACEAE,"Leaves, seeds.",Leaves and seeds used in traditional medicine for their potential analgesic and anti-inflammatory properties,"potential analgesic and anti-inflammatory properties, excessive consumption may cause gastrointestinal upset or allergic reactions."
Saptaparna,Alstonia scholaris (L.)R. Br,Saptaparna,Apocynaceae,Bark.,Bark used for its potential antimalarial and antipyretic properties,"nausea, vomiting"
Saraswati,Centella asiatica,Saraswati,Apiaceae,Whole plant.,Known for its cognitive-enhancing and wound-healing properties,allergic reactions or photosensitivity
Sarson,Brassica campestris,Sarson,Brassiaceae,"Seeds, leaves.",Contains antioxidants and may have cholesterol-lowering effects,experience bloating or gas due to the fiber content of the seeds.
Seeta Ashok,Saraca asoca (Roxb.) Willd,Seeta Ashok,Caesalpiniaceae,"Bark, flowers.",Bark and flowers used in traditional medicine for their potential uterine tonic and anti-inflammatory properties,"toxicity, including nausea, vomiting, abdominal pain, dizziness, weakness, and even coma in severe cases."
serpentina,Rauvolfia serpentina,Sarpagandha,Apocynaceae,Root.,Contains alkaloids with potential antihypertensive and sedative properties,"May cause dizziness, drowsiness, and gastrointestinal discomfort, and should be used with caution under medical supervision."
Shalakat,Myricaria bracteataÿRoyle,Shalakat,TAMARICACEAE,Whole plant.,"Promotes the production of urine, aiding in the elimination of excess fluids from the body,Helps combat oxidative stress and free radical damage in the body","stomach upset, nausea, or diarrhea."
Shallaki,Boswellia serrata Roxb. ex Colebr.,Shallaki,Burseraceae,Resin.,"Reduces inflammation, particularly in conditions like arthritis,Provides pain relief, especially for joint pain and inflammation.",External application of Boswellia resin may cause skin irritation or allergic reactions in sensitive individuals.
Shyonaka,Oroxylum indicum (L.) Kurz,Shyonaka,Bignoniaceae,"Bark, seeds.",Bark and seeds used for their potential anti-inflammatory and expectorant properties,"Shyonaka bark and seeds are used traditionally for their potential anti-inflammatory and expectorant properties, there may be side effects such as gastrointestinal upset or allergic reactions in sensitive individuals."
Suraal,Pueraria tuberosa,Suraal,Fabaceae,Tubers.,Tubers used for their potential rejuvenating and aphrodisiac properties," traditionally used for their potential rejuvenating and aphrodisiac properties, it's important to note that excessive consumption may lead to gastrointestinal upset "
